influencer_id,influencer_name,influencer_created_at,influencer_registration_type,influencer_platform,influencer_category,influencer_followers_count,influencer_posts,influencer_avg_likes,influencer_avg_comments,influencer_engagement_rate,influencer_recent_post_at
Inf-0176,chanbridge4v,2025-11-05 00:45:39,대회 및 이벤트,YouTube,하이룩스,68581,184,601.49,432.91,1.51,2026-03-24 14:39:08
Inf-0177,hshalders4w,2025-11-01 21:44:55,스포츠크루 및 커뮤니티,YouTube,파워리프팅,75716,480,766.61,131.93,1.19,2026-03-01 09:52:08
Inf-0178,wvergo4x,2025-10-29 06:19:13,대회 및 이벤트,Naver,수영,7573,128,32.32,31.07,0.84,2026-03-20 02:56:36
Inf-0179,tsarsfield4y,2025-10-01 10:11:45,개인 인플루언서,YouTube,바레,42809,284,16.57,10.87,0.06,2026-03-05 09:05:07
Inf-0180,tarnason4z,2025-09-14 19:02:38,웰니스 피트니스 센터,YouTube,기타,58084,135,950.67,127.22,1.86,2026-04-01 12:25:30
Inf-0181,jbarrow50,2025-08-01 02:45:15,웰니스 피트니스 센터,YouTube,헬스 및 웨이트,18810,296,352.57,309.89,3.52,2026-04-16 08:44:19
Inf-0182,eholborn51,2025-07-17 11:41:53,개인 인플루언서,Instagram,헬스 및 웨이트,50096,189,55.21,20.2,0.15,2026-04-05 20:45:04
Inf-0183,fschuricht52,2026-01-06 05:06:31,스포츠크루 및 커뮤니티,YouTube,기타,86229,10,408.23,2.52,0.48,2026-04-15 00:10:11
Inf-0184,bcartmer53,2025-07-17 08:07:25,개인 인플루언서,Naver,헬스 및 웨이트,41609,112,236.72,103.79,0.82,2026-04-04 07:03:20
Inf-0185,agiacomasso54,2025-12-19 10:43:29,개인 인플루언서,YouTube,크로스핏,46448,163,661.3,24.12,1.48,2026-03-24 07:31:52
Inf-0186,tenterle55,2025-08-29 12:09:16,대회 및 이벤트,Instagram,헬스 및 웨이트,3091,80,909.41,776.81,54.55,2026-03-17 10:25:40
Inf-0187,krosenstock56,2025-09-19 12:11:29,대회 및 이벤트,YouTube,필라테스,44474,201,785.39,773.54,3.51,2026-03-12 16:15:04
Inf-0188,rcornbill57,2025-11-04 17:06:55,대회 및 이벤트,Instagram,파워리프팅,27722,142,87.01,25.1,0.4,2026-02-26 17:00:18
Inf-0189,mscrivner58,2025-08-28 12:37:47,스포츠크루 및 커뮤니티,Naver,바레,262,451,29.24,21.78,19.47,2026-03-28 19:52:35
Inf-0190,oorcott59,2025-07-04 21:10:21,웰니스 피트니스 센터,YouTube,하이룩스,13277,187,954.65,292.37,9.39,2026-03-02 15:56:19
Inf-0191,shadye5a,2025-12-26 00:52:09,웰니스 피트니스 센터,YouTube,수영,8568,232,952.42,300.46,14.62,2026-03-11 05:54:16
Inf-0192,fmelson5b,2025-12-08 10:10:54,웰니스 피트니스 센터,Instagram,필라테스,16891,135,87.17,69.07,0.92,2026-03-05 22:15:03
Inf-0193,nharsant5c,2025-08-10 20:40:15,대회 및 이벤트,YouTube,바레,87746,126,33.2,7.96,0.05,2026-03-05 14:52:35
Inf-0194,hmaunder5d,2025-10-30 04:02:04,대회 및 이벤트,Naver,F45,52072,124,843.76,544.23,2.67,2026-03-10 06:58:54
Inf-0195,pferenc5e,2026-01-08 22:04:55,개인 인플루언서,Naver,기타,7133,183,942.88,274.07,17.06,2026-02-27 17:04:00
Inf-0196,tbousfield5f,2025-07-28 17:16:28,웰니스 피트니스 센터,Instagram,수영,89983,213,938.78,416.3,1.51,2026-04-04 15:01:43
Inf-0197,khatchell5g,2025-07-23 10:14:47,대회 및 이벤트,Naver,헬스 및 웨이트,75536,407,876.46,147.71,1.36,2026-04-02 08:11:12
Inf-0198,clamminam5h,2025-11-01 04:19:26,개인 인플루언서,Naver,헬스 및 웨이트,91714,166,39.17,5.48,0.05,2026-04-09 03:04:57
Inf-0199,htiuit5i,2025-12-14 17:50:49,대회 및 이벤트,YouTube,수영,90467,364,316.68,227.29,0.6,2026-04-12 08:47:16
Inf-0200,dchildes5j,2025-12-20 21:40:18,스포츠크루 및 커뮤니티,Instagram,수영,4342,4,882.52,268.82,26.52,2026-04-06 22:56:09
