influencer_metric_id,influencer_id,influencer_metric_date,influencer_followers_count,influencer_post_count,influencer_avg_likes,influencer_avg_comments,influencer_engagement_rate
infmet-0374,inf-0063,2026-01-31,87758,316,362.84,80.12,0.5
infmet-0375,inf-0063,2026-02-28,86586,320,365.6,88.9,0.52
infmet-0376,inf-0063,2026-03-31,90570,322,423.8,112.48,0.59
infmet-0377,inf-0063,2026-04-30,92533,324,497.15,121.9,0.67
infmet-0378,inf-0063,2026-05-31,94337,326,404.37,102.06,0.54
infmet-0379,inf-0064,2025-12-31,37641,237,494.57,211.96,1.88
infmet-0380,inf-0064,2026-01-31,36975,238,523.07,224.17,2.02
infmet-0381,inf-0064,2026-02-28,37686,241,535.83,170.35,1.87
infmet-0382,inf-0064,2026-03-31,38249,243,550.9,236.1,2.06
infmet-0383,inf-0064,2026-04-30,38696,244,628.82,269.49,2.32
infmet-0384,inf-0064,2026-05-31,40324,247,490.68,241.4,1.82
infmet-0385,inf-0065,2025-12-31,55970,246,849.35,364.01,2.17
infmet-0386,inf-0065,2026-01-31,58385,248,962.19,412.37,2.35
infmet-0387,inf-0065,2026-02-28,61798,250,966.72,414.31,2.23
infmet-0388,inf-0065,2026-03-31,60254,251,1049.67,449.86,2.49
infmet-0389,inf-0065,2026-04-30,58483,252,980.02,420.01,2.39
infmet-0390,inf-0065,2026-05-31,61130,253,945.91,811.7,2.88
infmet-0391,inf-0066,2025-12-31,64819,4,22.48,9.63,0.05
infmet-0392,inf-0066,2026-01-31,67882,6,47.52,20.36,0.1
infmet-0393,inf-0066,2026-02-28,67501,6,55.55,21.72,0.11
infmet-0394,inf-0066,2026-03-31,72984,6,60.36,25.87,0.12
infmet-0395,inf-0066,2026-04-30,79937,8,64.62,27.7,0.12
infmet-0396,inf-0066,2026-05-31,87571,9,25.33,14.53,0.05
infmet-0397,inf-0067,2025-12-31,40793,141,26.39,11.31,0.09
infmet-0398,inf-0067,2026-01-31,42028,143,29.42,12.61,0.1
infmet-0399,inf-0067,2026-02-28,43611,148,30.73,13.17,0.1
infmet-0400,inf-0067,2026-03-31,42439,151,29.71,12.73,0.1
infmet-0401,inf-0067,2026-04-30,45990,155,32.19,13.8,0.1
infmet-0402,inf-0067,2026-05-31,46427,159,31.55,23.44,0.12
infmet-0403,inf-0068,2025-12-31,36475,141,35.02,15.01,0.14
infmet-0404,inf-0068,2026-01-31,38388,146,42.17,17.73,0.16
infmet-0405,inf-0068,2026-02-28,41585,151,39.15,16.78,0.13
infmet-0406,inf-0068,2026-03-31,43860,153,43.85,18.79,0.14
infmet-0407,inf-0068,2026-04-30,43005,160,40.43,17.33,0.13
infmet-0408,inf-0068,2026-05-31,47163,166,29.54,20.28,0.11
infmet-0409,inf-0069,2025-12-31,53764,228,642.15,275.21,1.71
infmet-0410,inf-0069,2026-01-31,56117,233,627.23,268.81,1.6
infmet-0411,inf-0069,2026-02-28,61114,235,778.24,333.53,1.82
infmet-0412,inf-0069,2026-03-31,63530,245,710.54,304.52,1.6
infmet-0413,inf-0069,2026-04-30,62910,249,781.14,334.77,1.77
infmet-0414,inf-0069,2026-05-31,67849,254,895.03,473.17,2.02
infmet-0415,inf-0070,2025-12-31,44261,372,44.39,9.17,0.12
infmet-0416,inf-0070,2026-01-31,48525,376,44.16,12.64,0.12
infmet-0417,inf-0070,2026-02-28,52740,379,43.92,10.22,0.1
infmet-0418,inf-0070,2026-03-31,54884,382,47.88,7.0,0.1
infmet-0419,inf-0070,2026-04-30,57131,385,53.23,8.7,0.11
infmet-0420,inf-0070,2026-05-31,61327,388,64.79,13.92,0.13
infmet-0421,inf-0071,2025-12-31,6318,82,181.03,7.17,2.98
infmet-0422,inf-0071,2026-01-31,6931,82,223.99,8.01,3.35
infmet-0423,inf-0071,2026-02-28,7567,82,246.05,10.07,3.38
infmet-0424,inf-0071,2026-03-31,7847,82,264.35,11.29,3.51
infmet-0425,inf-0071,2026-04-30,7835,84,243.25,7.35,3.2
infmet-0426,inf-0071,2026-05-31,8594,88,239.71,7.99,2.88
infmet-0427,inf-0072,2025-12-31,80410,219,898.93,385.26,1.6
infmet-0428,inf-0072,2026-01-31,86055,221,943.21,404.23,1.57
infmet-0429,inf-0072,2026-02-28,87706,222,893.16,368.33,1.44
infmet-0430,inf-0072,2026-03-31,95857,224,1029.36,441.16,1.53
infmet-0431,inf-0072,2026-04-30,98437,228,952.06,408.03,1.38
infmet-0432,inf-0072,2026-05-31,98375,231,892.05,551.35,1.47
infmet-0433,inf-0073,2025-12-31,76554,212,119.67,51.29,0.22
infmet-0434,inf-0073,2026-01-31,78455,219,121.51,52.07,0.22
infmet-0435,inf-0073,2026-02-28,80976,224,140.34,60.14,0.25
infmet-0436,inf-0073,2026-03-31,83666,232,143.94,61.69,0.25
infmet-0437,inf-0073,2026-04-30,91976,236,137.36,58.87,0.21
infmet-0438,inf-0073,2026-05-31,94438,246,90.78,81.73,0.18
infmet-0439,inf-0074,2025-12-31,17080,113,865.05,370.74,7.24
infmet-0440,inf-0074,2026-01-31,18700,114,935.65,400.99,7.15
infmet-0441,inf-0074,2026-02-28,19772,115,904.85,387.79,6.54
infmet-0442,inf-0074,2026-03-31,20882,118,1025.95,439.69,7.02
infmet-0443,inf-0074,2026-04-30,21199,119,926.28,396.98,6.24
infmet-0444,inf-0074,2026-05-31,22302,120,766.07,677.06,6.47
infmet-0445,inf-0075,2025-12-31,55222,384,458.86,196.65,1.19
infmet-0446,inf-0075,2026-01-31,57366,387,426.25,182.68,1.06
infmet-0447,inf-0075,2026-02-28,57818,389,400.41,171.6,0.99
infmet-0448,inf-0075,2026-03-31,57569,390,375.76,161.04,0.93
infmet-0449,inf-0075,2026-04-30,56998,392,330.43,141.61,0.83
infmet-0450,inf-0075,2026-05-31,62372,394,438.93,306.54,1.2
infmet-0451,inf-0076,2025-12-31,35571,290,490.6,210.26,1.97
infmet-0452,inf-0076,2026-01-31,36172,294,471.03,201.87,1.86
infmet-0453,inf-0076,2026-02-28,36219,300,439.49,188.35,1.73
infmet-0454,inf-0076,2026-03-31,38996,306,420.79,180.34,1.54
infmet-0455,inf-0076,2026-04-30,40098,312,424.74,182.03,1.51
infmet-0456,inf-0076,2026-05-31,43144,321,468.07,287.99,1.75
infmet-0457,inf-0077,2025-12-31,57127,271,65.66,13.4,0.14
infmet-0458,inf-0077,2026-01-31,62021,279,76.45,9.25,0.14
infmet-0459,inf-0077,2026-02-28,65107,284,77.16,10.3,0.13
infmet-0460,inf-0077,2026-03-31,71608,287,81.88,16.28,0.14
infmet-0461,inf-0077,2026-04-30,77532,290,89.54,18.4,0.14
infmet-0462,inf-0077,2026-05-31,81687,300,99.04,16.26,0.14
infmet-0463,inf-0078,2025-12-31,10438,33,557.96,62.65,5.95
infmet-0464,inf-0078,2026-01-31,10489,40,489.56,72.31,5.36
infmet-0465,inf-0078,2026-02-28,10722,50,459.8,62.03,4.87
infmet-0466,inf-0078,2026-03-31,10838,54,417.54,39.98,4.22
infmet-0467,inf-0078,2026-04-30,11767,60,515.04,48.66,4.79
infmet-0468,inf-0078,2026-05-31,12749,65,753.72,90.5,6.62
infmet-0469,inf-0079,2025-12-31,35776,411,30.53,7.49,0.11
infmet-0470,inf-0079,2026-01-31,38491,413,33.26,5.23,0.1
infmet-0471,inf-0079,2026-02-28,40727,420,39.01,5.08,0.11
infmet-0472,inf-0079,2026-03-31,40247,422,39.07,8.06,0.12
infmet-0473,inf-0079,2026-04-30,43818,425,38.92,10.52,0.11
infmet-0474,inf-0079,2026-05-31,44011,428,40.4,7.93,0.11
infmet-0475,inf-0080,2025-12-31,64748,174,430.71,119.63,0.85
infmet-0476,inf-0080,2026-01-31,66132,177,469.47,89.17,0.84
infmet-0477,inf-0080,2026-02-28,64914,179,511.36,96.5,0.94
infmet-0478,inf-0080,2026-03-31,69802,180,537.5,144.03,0.98
infmet-0479,inf-0080,2026-04-30,72417,182,640.69,106.76,1.03
infmet-0480,inf-0080,2026-05-31,72203,186,532.74,107.98,0.89
infmet-0481,inf-0081,2025-12-31,76694,378,379.24,162.53,0.71
infmet-0482,inf-0081,2026-01-31,76241,380,351.46,150.62,0.66
infmet-0483,inf-0081,2026-02-28,75942,385,324.32,138.99,0.61
infmet-0484,inf-0081,2026-03-31,78286,390,297.72,127.6,0.54
infmet-0485,inf-0081,2026-04-30,76933,393,343.42,130.2,0.62
infmet-0486,inf-0081,2026-05-31,82172,395,405.04,249.57,0.8
infmet-0487,inf-0082,2025-12-31,60334,29,49.57,21.25,0.12
infmet-0488,inf-0082,2026-01-31,65199,34,55.48,23.78,0.12
infmet-0489,inf-0082,2026-02-28,71019,36,65.15,27.92,0.13
infmet-0490,inf-0082,2026-03-31,70836,37,57.73,24.74,0.12
infmet-0491,inf-0082,2026-04-30,75920,44,67.09,28.75,0.13
infmet-0492,inf-0082,2026-05-31,79952,47,56.18,44.1,0.13
infmet-0493,inf-0083,2025-12-31,60364,390,35.69,15.3,0.08
infmet-0494,inf-0083,2026-01-31,60423,393,42.3,18.13,0.1
infmet-0495,inf-0083,2026-02-28,59536,396,44.63,19.13,0.11
infmet-0496,inf-0083,2026-03-31,59978,398,47.36,20.3,0.11
infmet-0497,inf-0083,2026-04-30,64022,402,50.91,21.82,0.11
infmet-0498,inf-0083,2026-05-31,68930,404,23.44,23.39,0.07
infmet-0499,inf-0084,2025-12-31,32083,410,394.68,158.03,1.72
infmet-0500,inf-0084,2026-01-31,31512,414,434.73,186.31,1.97
infmet-0501,inf-0084,2026-02-28,34608,420,532.37,228.16,2.2
infmet-0502,inf-0084,2026-03-31,35702,422,516.47,221.34,2.07
infmet-0503,inf-0084,2026-04-30,37593,427,649.63,190.24,2.23
infmet-0504,inf-0084,2026-05-31,38186,430,476.37,221.04,1.83
infmet-0505,inf-0085,2025-12-31,15810,83,156.85,67.22,1.42
infmet-0506,inf-0085,2026-01-31,16052,85,147.67,63.29,1.31
infmet-0507,inf-0085,2026-02-28,15686,91,160.18,68.65,1.46
infmet-0508,inf-0085,2026-03-31,16226,102,177.92,76.25,1.57
infmet-0509,inf-0085,2026-04-30,16928,104,207.1,88.76,1.75
infmet-0510,inf-0085,2026-05-31,17987,112,126.01,99.92,1.26
infmet-0511,inf-0086,2025-12-31,1270,311,756.21,324.09,85.06
infmet-0512,inf-0086,2026-01-31,1320,317,184.8,79.2,20.0
infmet-0513,inf-0086,2026-02-28,1408,323,188.22,80.67,19.1
infmet-0514,inf-0086,2026-03-31,1482,330,202.79,86.91,19.55
infmet-0515,inf-0086,2026-04-30,1574,334,192.18,82.36,17.44
infmet-0516,inf-0086,2026-05-31,1723,341,671.14,556.33,71.24
infmet-0517,inf-0087,2025-12-31,52736,192,589.19,252.51,1.6
infmet-0518,inf-0087,2026-01-31,51662,194,601.17,257.64,1.66
infmet-0519,inf-0087,2026-02-28,56760,195,664.87,284.95,1.67
infmet-0520,inf-0087,2026-03-31,55583,196,692.64,296.85,1.78
infmet-0521,inf-0087,2026-04-30,54783,197,671.9,287.96,1.75
infmet-0522,inf-0087,2026-05-31,53780,197,402.05,319.91,1.34
infmet-0523,inf-0088,2025-12-31,56960,52,92.82,19.39,0.2
infmet-0524,inf-0088,2026-01-31,61593,52,111.78,24.47,0.22
infmet-0525,inf-0088,2026-02-28,65239,55,111.27,24.17,0.21
infmet-0526,inf-0088,2026-03-31,66082,56,114.85,25.18,0.21
infmet-0527,inf-0088,2026-04-30,71334,57,123.11,18.52,0.2
infmet-0528,inf-0088,2026-05-31,71479,60,106.5,21.41,0.18
infmet-0529,inf-0089,2025-12-31,80559,214,435.86,89.65,0.65
infmet-0530,inf-0089,2026-01-31,82426,216,436.04,109.04,0.66
infmet-0531,inf-0089,2026-02-28,84741,220,508.47,95.69,0.71
infmet-0532,inf-0089,2026-03-31,83015,225,491.95,95.04,0.71
infmet-0533,inf-0089,2026-04-30,87891,228,516.37,104.95,0.71
infmet-0534,inf-0089,2026-05-31,92964,232,436.71,82.67,0.56
infmet-0535,inf-0090,2025-12-31,78551,276,41.76,12.19,0.07
infmet-0536,inf-0090,2026-01-31,81234,277,69.65,11.58,0.1
infmet-0537,inf-0090,2026-02-28,88530,280,70.24,18.29,0.1
infmet-0538,inf-0090,2026-03-31,91417,281,77.06,14.36,0.1
infmet-0539,inf-0090,2026-04-30,94803,281,76.78,25.68,0.11
infmet-0540,inf-0090,2026-05-31,92844,283,63.1,15.6,0.08
infmet-0541,inf-0091,2025-12-31,54742,465,579.31,248.28,1.51
infmet-0542,inf-0091,2026-01-31,58506,468,567.87,243.37,1.39
infmet-0543,inf-0091,2026-02-28,59886,469,544.1,233.19,1.3
infmet-0544,inf-0091,2026-03-31,63084,471,530.24,227.25,1.2
infmet-0545,inf-0091,2026-04-30,63867,473,498.64,213.7,1.12
infmet-0546,inf-0091,2026-05-31,67154,474,506.41,305.93,1.21
infmet-0547,inf-0092,2025-12-31,5461,406,289.51,124.07,7.57
infmet-0548,inf-0092,2026-01-31,5512,408,271.97,116.56,7.05
infmet-0549,inf-0092,2026-02-28,5943,413,277.48,118.92,6.67
infmet-0550,inf-0092,2026-03-31,6173,416,292.31,125.27,6.76
infmet-0551,inf-0092,2026-04-30,6151,417,296.57,127.1,6.89
infmet-0552,inf-0092,2026-05-31,6713,417,291.93,150.42,6.59
infmet-0553,inf-0093,2025-12-31,58316,336,703.19,170.57,1.5
infmet-0554,inf-0093,2026-01-31,58294,338,570.14,244.35,1.4
infmet-0555,inf-0093,2026-02-28,59927,338,569.92,158.11,1.21
infmet-0556,inf-0093,2026-03-31,64755,339,483.09,198.55,1.05
infmet-0557,inf-0093,2026-04-30,64401,340,510.7,183.84,1.08
infmet-0558,inf-0093,2026-05-31,63534,344,640.17,241.34,1.39
infmet-0559,inf-0094,2025-12-31,81515,124,466.2,185.26,0.8
infmet-0560,inf-0094,2026-01-31,80962,132,483.48,207.21,0.85
infmet-0561,inf-0094,2026-02-28,78649,137,486.51,204.45,0.88
infmet-0562,inf-0094,2026-03-31,85420,140,622.58,229.89,1.0
infmet-0563,inf-0094,2026-04-30,91772,144,699.32,214.92,1.0
infmet-0564,inf-0094,2026-05-31,89875,151,449.43,214.52,0.74
infmet-0565,inf-0095,2025-12-31,83535,319,559.63,239.84,0.96
infmet-0566,inf-0095,2026-01-31,87658,325,557.47,217.42,0.88
infmet-0567,inf-0095,2026-02-28,92367,330,493.13,211.34,0.76
infmet-0568,inf-0095,2026-03-31,94870,332,464.49,199.07,0.7
infmet-0569,inf-0095,2026-04-30,92251,337,454.63,181.87,0.69
infmet-0570,inf-0095,2026-05-31,98015,342,581.39,310.47,0.91
infmet-0571,inf-0096,2025-12-31,75267,439,223.61,25.84,0.33
infmet-0572,inf-0096,2026-01-31,80475,449,271.51,23.18,0.37
infmet-0573,inf-0096,2026-02-28,78187,456,262.46,33.63,0.38
infmet-0574,inf-0096,2026-03-31,85517,463,310.21,24.78,0.39
infmet-0575,inf-0096,2026-04-30,93234,465,315.91,40.24,0.38
infmet-0576,inf-0096,2026-05-31,90653,467,346.11,38.16,0.42
infmet-0577,inf-0097,2025-12-31,898,127,351.0,65.1,46.34
infmet-0578,inf-0097,2026-01-31,957,127,153.44,37.96,20.0
infmet-0579,inf-0097,2026-02-28,1049,127,161.01,48.79,20.0
infmet-0580,inf-0097,2026-03-31,1060,129,171.93,32.32,19.27
infmet-0581,inf-0097,2026-04-30,1098,132,174.24,45.36,20.0
infmet-0582,inf-0097,2026-05-31,1133,132,382.94,87.01,41.48
infmet-0583,inf-0098,2025-12-31,47227,28,930.55,398.81,2.81
infmet-0584,inf-0098,2026-01-31,46248,31,986.26,323.39,2.83
infmet-0585,inf-0098,2026-02-28,46903,35,1025.33,439.43,3.12
infmet-0586,inf-0098,2026-03-31,49607,37,1067.0,457.29,3.07
infmet-0587,inf-0098,2026-04-30,48689,40,1271.33,428.05,3.49
infmet-0588,inf-0098,2026-05-31,48182,44,784.56,370.7,2.4
infmet-0589,inf-0099,2025-12-31,58929,227,270.52,115.94,0.66
infmet-0590,inf-0099,2026-01-31,60540,232,290.53,124.51,0.69
infmet-0591,inf-0099,2026-02-28,59824,236,253.39,108.6,0.61
infmet-0592,inf-0099,2026-03-31,60258,238,218.0,93.43,0.52
infmet-0593,inf-0099,2026-04-30,58821,246,196.73,84.31,0.48
infmet-0594,inf-0099,2026-05-31,62314,252,261.43,176.78,0.7
infmet-0595,inf-0100,2025-12-31,1460,94,488.53,209.37,47.8
infmet-0596,inf-0100,2026-01-31,1435,99,216.68,70.32,20.0
infmet-0597,inf-0100,2026-02-28,1471,104,205.94,88.26,20.0
infmet-0598,inf-0100,2026-03-31,1493,104,209.02,89.58,20.0
infmet-0599,inf-0100,2026-04-30,1548,108,227.2,82.4,20.0
infmet-0600,inf-0100,2026-05-31,1506,111,421.21,214.82,42.23
infmet-0601,inf-0101,2025-12-31,55294,375,160.91,68.96,0.42
infmet-0602,inf-0101,2026-01-31,55963,378,151.41,64.89,0.39
infmet-0603,inf-0101,2026-02-28,60415,378,163.66,70.14,0.39
infmet-0604,inf-0101,2026-03-31,62157,378,147.7,63.3,0.34
infmet-0605,inf-0101,2026-04-30,60423,378,140.29,60.13,0.33
infmet-0606,inf-0101,2026-05-31,66368,380,139.95,86.8,0.34
infmet-0607,inf-0102,2025-12-31,35525,319,160.6,41.03,0.57
infmet-0608,inf-0102,2026-01-31,36910,326,149.36,41.28,0.52
infmet-0609,inf-0102,2026-02-28,37674,328,160.87,44.23,0.54
infmet-0610,inf-0102,2026-03-31,40734,331,146.81,53.74,0.49
infmet-0611,inf-0102,2026-04-30,40992,332,163.05,49.36,0.52
infmet-0612,inf-0102,2026-05-31,42151,338,192.92,59.97,0.6
infmet-0613,inf-0103,2025-12-31,39588,398,851.85,365.08,3.07
infmet-0614,inf-0103,2026-01-31,40164,403,943.82,404.5,3.36
infmet-0615,inf-0103,2026-02-28,43659,406,1160.43,497.33,3.8
infmet-0616,inf-0103,2026-03-31,43563,411,1194.88,512.09,3.92
infmet-0617,inf-0103,2026-04-30,45495,419,1326.62,568.55,4.17
infmet-0618,inf-0103,2026-05-31,49173,425,954.51,897.11,3.77
infmet-0619,inf-0104,2025-12-31,78394,102,672.91,288.39,1.23
infmet-0620,inf-0104,2026-01-31,78739,102,631.14,270.49,1.15
infmet-0621,inf-0104,2026-02-28,85872,102,624.91,267.82,1.04
infmet-0622,inf-0104,2026-03-31,83454,103,594.07,241.92,1.0
infmet-0623,inf-0104,2026-04-30,87602,105,593.12,254.19,0.97
infmet-0624,inf-0104,2026-05-31,87000,108,827.32,562.34,1.6
infmet-0625,inf-0105,2025-12-31,51690,218,654.41,280.46,1.81
infmet-0626,inf-0105,2026-01-31,52253,220,714.5,306.22,1.95
infmet-0627,inf-0105,2026-02-28,54298,222,810.71,347.45,2.13
infmet-0628,inf-0105,2026-03-31,56228,223,791.29,339.12,2.01
infmet-0629,inf-0105,2026-04-30,61328,223,974.2,417.51,2.27
infmet-0630,inf-0105,2026-05-31,67387,223,749.57,509.64,1.87
infmet-0631,inf-0106,2025-12-31,13658,121,421.91,180.82,4.41
infmet-0632,inf-0106,2026-01-31,13422,125,401.28,171.98,4.27
infmet-0633,inf-0106,2026-02-28,14514,130,424.18,181.79,4.18
infmet-0634,inf-0106,2026-03-31,15215,133,495.28,212.26,4.65
infmet-0635,inf-0106,2026-04-30,16339,141,495.22,212.24,4.33
infmet-0636,inf-0106,2026-05-31,17485,149,553.75,319.99,5.0
infmet-0637,inf-0107,2025-12-31,21789,320,759.65,60.58,3.76
infmet-0638,inf-0107,2026-01-31,22306,323,704.31,45.22,3.36
infmet-0639,inf-0107,2026-02-28,23277,330,718.65,69.71,3.39
infmet-0640,inf-0107,2026-03-31,23644,334,682.5,39.01,3.05
infmet-0641,inf-0107,2026-04-30,23401,338,725.17,57.11,3.34
infmet-0642,inf-0107,2026-05-31,24228,339,724.51,54.79,3.22
infmet-0643,inf-0108,2025-12-31,80198,465,578.08,247.75,1.03
infmet-0644,inf-0108,2026-01-31,83133,469,542.78,232.62,0.93
infmet-0645,inf-0108,2026-02-28,81369,476,503.1,215.61,0.88
infmet-0646,inf-0108,2026-03-31,87559,480,555.6,238.11,0.91
infmet-0647,inf-0108,2026-04-30,91737,490,620.19,265.8,0.97
infmet-0648,inf-0108,2026-05-31,89687,494,452.7,319.99,0.86
infmet-0649,inf-0109,2025-12-31,83489,443,464.33,135.35,0.72
infmet-0650,inf-0109,2026-01-31,91074,447,512.64,219.7,0.8
infmet-0651,inf-0109,2026-02-28,89692,451,479.56,188.28,0.74
infmet-0652,inf-0109,2026-03-31,88025,456,487.06,208.74,0.79
infmet-0653,inf-0109,2026-04-30,95939,461,504.11,155.77,0.69
infmet-0654,inf-0109,2026-05-31,99077,467,576.34,261.45,0.85
infmet-0655,inf-0110,2025-12-31,46666,376,171.94,73.69,0.53
infmet-0656,inf-0110,2026-01-31,47501,383,169.03,72.44,0.51
infmet-0657,inf-0110,2026-02-28,48053,388,155.45,66.62,0.46
infmet-0658,inf-0110,2026-03-31,47464,392,142.58,61.1,0.43
infmet-0659,inf-0110,2026-04-30,51447,400,160.43,68.75,0.45
infmet-0660,inf-0110,2026-05-31,54910,409,173.28,157.47,0.6
infmet-0661,inf-0111,2025-12-31,68268,220,208.68,79.9,0.42
infmet-0662,inf-0111,2026-01-31,66741,226,189.35,61.17,0.38
infmet-0663,inf-0111,2026-02-28,71625,236,219.18,69.95,0.4
infmet-0664,inf-0111,2026-03-31,77948,239,232.99,82.4,0.4
infmet-0665,inf-0111,2026-04-30,80899,241,253.84,95.42,0.43
infmet-0666,inf-0111,2026-05-31,88633,246,284.04,83.24,0.41
infmet-0667,inf-0112,2025-12-31,77850,475,651.33,217.75,1.12
infmet-0668,inf-0112,2026-01-31,82077,478,563.19,241.37,0.98
infmet-0669,inf-0112,2026-02-28,88795,480,680.21,291.52,1.09
infmet-0670,inf-0112,2026-03-31,88628,483,732.75,314.03,1.18
infmet-0671,inf-0112,2026-04-30,92377,488,741.44,251.36,1.07
infmet-0672,inf-0112,2026-05-31,90043,492,840.58,337.06,1.31
infmet-0673,inf-0113,2025-12-31,17192,300,489.67,209.86,4.07
infmet-0674,inf-0113,2026-01-31,18307,308,524.83,224.93,4.1
infmet-0675,inf-0113,2026-02-28,17769,314,498.88,213.81,4.01
infmet-0676,inf-0113,2026-03-31,17336,321,501.06,214.74,4.13
infmet-0677,inf-0113,2026-04-30,18458,327,597.21,255.95,4.62
infmet-0678,inf-0113,2026-05-31,17999,334,472.98,329.25,4.46
infmet-0679,inf-0114,2025-12-31,59602,384,871.25,373.39,2.09
infmet-0680,inf-0114,2026-01-31,58066,387,774.69,332.01,1.91
infmet-0681,inf-0114,2026-02-28,63263,394,767.59,328.97,1.73
infmet-0682,inf-0114,2026-03-31,65447,399,811.63,347.84,1.77
infmet-0683,inf-0114,2026-04-30,69984,407,867.37,371.73,1.77
infmet-0684,inf-0114,2026-05-31,69472,417,666.88,497.19,1.68
infmet-0685,inf-0115,2025-12-31,12650,314,536.61,229.97,6.06
infmet-0686,inf-0115,2026-01-31,12551,320,586.0,251.14,6.67
infmet-0687,inf-0115,2026-02-28,12287,324,502.93,215.54,5.85
infmet-0688,inf-0115,2026-03-31,12825,330,449.95,192.83,5.01
infmet-0689,inf-0115,2026-04-30,13056,332,397.08,170.18,4.34
infmet-0690,inf-0115,2026-05-31,14138,339,370.33,355.25,5.13
infmet-0691,inf-0116,2025-12-31,62099,161,582.3,69.22,1.05
infmet-0692,inf-0116,2026-01-31,60654,162,555.81,65.02,1.02
infmet-0693,inf-0116,2026-02-28,65384,165,577.66,64.78,0.98
infmet-0694,inf-0116,2026-03-31,64699,166,570.09,69.71,0.99
infmet-0695,inf-0116,2026-04-30,71077,167,629.83,65.09,0.98
infmet-0696,inf-0116,2026-05-31,73571,168,769.01,103.44,1.19
infmet-0697,inf-0117,2025-12-31,55943,363,759.25,325.39,1.94
infmet-0698,inf-0117,2026-01-31,55992,363,836.13,330.25,2.08
infmet-0699,inf-0117,2026-02-28,60482,365,768.66,329.43,1.82
infmet-0700,inf-0117,2026-03-31,64123,372,837.46,358.91,1.87
infmet-0701,inf-0117,2026-04-30,63315,380,890.43,381.61,2.01
infmet-0702,inf-0117,2026-05-31,66372,381,996.48,666.35,2.51
infmet-0703,inf-0118,2025-12-31,9697,112,159.83,68.5,2.35
infmet-0704,inf-0118,2026-01-31,10355,115,161.96,69.41,2.23
infmet-0705,inf-0118,2026-02-28,11111,117,196.3,84.13,2.52
infmet-0706,inf-0118,2026-03-31,11639,118,216.85,92.94,2.66
infmet-0707,inf-0118,2026-04-30,12130,120,258.18,110.65,3.04
infmet-0708,inf-0118,2026-05-31,11962,121,157.05,155.82,2.62
infmet-0709,inf-0119,2025-12-31,80784,90,988.44,423.62,1.75
infmet-0710,inf-0119,2026-01-31,86398,99,1138.74,488.03,1.88
infmet-0711,inf-0119,2026-02-28,86030,105,1245.53,533.8,2.07
infmet-0712,inf-0119,2026-03-31,84834,107,1308.67,560.86,2.2
infmet-0713,inf-0119,2026-04-30,92561,114,1464.79,627.77,2.26
infmet-0714,inf-0119,2026-05-31,90595,120,874.6,612.67,1.64
infmet-0715,inf-0120,2025-12-31,58382,69,700.75,162.67,1.48
infmet-0716,inf-0120,2026-01-31,60725,70,762.18,158.85,1.52
infmet-0717,inf-0120,2026-02-28,60501,72,803.28,157.66,1.59
infmet-0718,inf-0120,2026-03-31,59947,72,841.79,173.25,1.69
infmet-0719,inf-0120,2026-04-30,65923,74,1021.59,142.03,1.77
infmet-0720,inf-0120,2026-05-31,70425,76,842.18,160.96,1.42
infmet-0721,inf-0121,2025-12-31,10438,398,401.67,172.15,5.5
infmet-0722,inf-0121,2026-01-31,10929,401,420.52,170.6,5.41
infmet-0723,inf-0121,2026-02-28,10730,404,450.63,193.13,6.0
infmet-0724,inf-0121,2026-03-31,11355,406,508.82,218.07,6.4
infmet-0725,inf-0121,2026-04-30,12303,407,554.57,237.67,6.44
infmet-0726,inf-0121,2026-05-31,12777,408,462.31,302.13,5.98
infmet-0727,inf-0122,2025-12-31,25467,167,1037.51,444.65,5.82
infmet-0728,inf-0122,2026-01-31,27404,169,1270.18,544.36,6.62
infmet-0729,inf-0122,2026-02-28,27787,172,1250.12,535.77,6.43
infmet-0730,inf-0122,2026-03-31,27335,175,1064.12,456.05,5.56
infmet-0731,inf-0122,2026-04-30,27349,175,1199.86,514.23,6.27
infmet-0732,inf-0122,2026-05-31,28325,178,913.36,650.83,5.52
infmet-0733,inf-0123,2025-12-31,52805,391,340.59,84.31,0.8
infmet-0734,inf-0123,2026-01-31,53124,401,362.95,54.24,0.79
infmet-0735,inf-0123,2026-02-28,57256,409,343.33,54.97,0.7
infmet-0736,inf-0123,2026-03-31,62613,413,317.82,65.05,0.61
infmet-0737,inf-0123,2026-04-30,66294,418,321.84,51.03,0.56
infmet-0738,inf-0123,2026-05-31,64597,421,440.66,87.13,0.82
infmet-0739,inf-0124,2025-12-31,54203,86,226.42,97.04,0.6
infmet-0740,inf-0124,2026-01-31,53641,89,232.15,99.49,0.62
infmet-0741,inf-0124,2026-02-28,58393,91,263.27,112.83,0.64
infmet-0742,inf-0124,2026-03-31,61394,92,292.62,125.41,0.68
infmet-0743,inf-0124,2026-04-30,62490,92,254.64,109.13,0.58
infmet-0744,inf-0124,2026-05-31,65191,92,185.57,178.72,0.56
infmet-0745,inf-0125,2025-12-31,14871,90,383.93,164.54,3.69
infmet-0746,inf-0125,2026-01-31,15445,101,434.2,135.31,3.69
infmet-0747,inf-0125,2026-02-28,15483,104,425.86,169.67,3.85
infmet-0748,inf-0125,2026-03-31,15702,109,479.85,205.65,4.37
