influencer_follower_demo_id,influencer_id,collected_date,influencer_follower_gender,influencer_follower_age_group,engagement_type,engaged_follower_count,engaged_follower_ratio
inffol-0889,inf-0045,2026-06-01,남성,30대,comment,221,11.71
inffol-0890,inf-0045,2026-06-01,남성,40대,comment,127,6.73
inffol-0891,inf-0045,2026-06-01,남성,50대,comment,27,1.43
inffol-0892,inf-0045,2026-06-01,여성,10대,comment,4,0.21
inffol-0893,inf-0045,2026-06-01,여성,20대,comment,83,4.4
inffol-0894,inf-0045,2026-06-01,여성,30대,comment,203,10.75
inffol-0895,inf-0045,2026-06-01,여성,40대,comment,111,5.88
inffol-0896,inf-0045,2026-06-01,여성,50대,comment,25,1.32
inffol-0897,inf-0046,2026-06-01,남성,10대,like,6,1.4
inffol-0898,inf-0046,2026-06-01,남성,20대,like,26,6.05
inffol-0899,inf-0046,2026-06-01,남성,30대,like,81,18.84
inffol-0900,inf-0046,2026-06-01,남성,40대,like,21,4.88
inffol-0901,inf-0046,2026-06-01,남성,50대,like,12,2.79
inffol-0902,inf-0046,2026-06-01,남성,60대+,like,15,3.49
inffol-0903,inf-0046,2026-06-01,여성,10대,like,3,0.7
inffol-0904,inf-0046,2026-06-01,여성,20대,like,21,4.88
inffol-0905,inf-0046,2026-06-01,여성,30대,like,53,12.33
inffol-0906,inf-0046,2026-06-01,여성,40대,like,17,3.95
inffol-0907,inf-0046,2026-06-01,여성,50대,like,8,1.86
inffol-0908,inf-0046,2026-06-01,여성,60대+,like,6,1.4
inffol-0909,inf-0046,2026-06-01,남성,10대,comment,6,1.4
inffol-0910,inf-0046,2026-06-01,남성,20대,comment,16,3.72
inffol-0911,inf-0046,2026-06-01,남성,30대,comment,49,11.4
inffol-0912,inf-0046,2026-06-01,남성,40대,comment,11,2.56
inffol-0913,inf-0046,2026-06-01,남성,50대,comment,7,1.63
inffol-0914,inf-0046,2026-06-01,남성,60대+,comment,8,1.86
inffol-0915,inf-0046,2026-06-01,여성,10대,comment,2,0.47
inffol-0916,inf-0046,2026-06-01,여성,20대,comment,17,3.95
inffol-0917,inf-0046,2026-06-01,여성,30대,comment,32,7.44
inffol-0918,inf-0046,2026-06-01,여성,40대,comment,4,0.93
inffol-0919,inf-0046,2026-06-01,여성,50대,comment,4,0.93
inffol-0920,inf-0046,2026-06-01,여성,60대+,comment,5,1.16
inffol-0921,inf-0047,2026-06-01,남성,10대,like,3,0.26
inffol-0922,inf-0047,2026-06-01,남성,20대,like,116,10.12
inffol-0923,inf-0047,2026-06-01,남성,30대,like,21,1.83
inffol-0924,inf-0047,2026-06-01,남성,40대,like,27,2.36
inffol-0925,inf-0047,2026-06-01,남성,50대,like,15,1.31
inffol-0926,inf-0047,2026-06-01,여성,10대,like,8,0.7
inffol-0927,inf-0047,2026-06-01,여성,20대,like,284,24.78
inffol-0928,inf-0047,2026-06-01,여성,30대,like,92,8.03
inffol-0929,inf-0047,2026-06-01,여성,40대,like,86,7.5
inffol-0930,inf-0047,2026-06-01,여성,50대,like,20,1.75
inffol-0931,inf-0047,2026-06-01,남성,10대,comment,1,0.09
inffol-0932,inf-0047,2026-06-01,남성,20대,comment,80,6.98
inffol-0933,inf-0047,2026-06-01,남성,30대,comment,13,1.13
inffol-0934,inf-0047,2026-06-01,남성,40대,comment,18,1.57
inffol-0935,inf-0047,2026-06-01,남성,50대,comment,7,0.61
inffol-0936,inf-0047,2026-06-01,여성,10대,comment,1,0.09
inffol-0937,inf-0047,2026-06-01,여성,20대,comment,232,20.24
inffol-0938,inf-0047,2026-06-01,여성,30대,comment,59,5.15
inffol-0939,inf-0047,2026-06-01,여성,40대,comment,56,4.89
inffol-0940,inf-0047,2026-06-01,여성,50대,comment,7,0.61
inffol-0941,inf-0048,2026-06-01,남성,10대,like,2,3.12
inffol-0942,inf-0048,2026-06-01,남성,20대,like,8,12.5
inffol-0943,inf-0048,2026-06-01,남성,30대,like,4,6.25
inffol-0944,inf-0048,2026-06-01,남성,40대,like,1,1.56
inffol-0945,inf-0048,2026-06-01,남성,50대,like,3,4.69
inffol-0946,inf-0048,2026-06-01,여성,20대,like,12,18.75
inffol-0947,inf-0048,2026-06-01,여성,40대,like,1,1.56
inffol-0948,inf-0048,2026-06-01,여성,50대,like,3,4.69
inffol-0949,inf-0048,2026-06-01,남성,20대,comment,12,18.75
inffol-0950,inf-0048,2026-06-01,남성,30대,comment,2,3.12
inffol-0951,inf-0048,2026-06-01,남성,40대,comment,3,4.69
inffol-0952,inf-0048,2026-06-01,남성,50대,comment,1,1.56
inffol-0953,inf-0048,2026-06-01,남성,60대+,comment,1,1.56
inffol-0954,inf-0048,2026-06-01,여성,10대,comment,1,1.56
inffol-0955,inf-0048,2026-06-01,여성,20대,comment,3,4.69
inffol-0956,inf-0048,2026-06-01,여성,30대,comment,4,6.25
inffol-0957,inf-0048,2026-06-01,여성,50대,comment,3,4.69
inffol-0958,inf-0049,2026-06-01,남성,10대,like,2,1.0
inffol-0959,inf-0049,2026-06-01,남성,20대,like,94,46.77
inffol-0960,inf-0049,2026-06-01,남성,30대,like,26,12.94
inffol-0961,inf-0049,2026-06-01,남성,40대,like,12,5.97
inffol-0962,inf-0049,2026-06-01,남성,50대,like,1,0.5
inffol-0963,inf-0049,2026-06-01,여성,10대,like,1,0.5
inffol-0964,inf-0049,2026-06-01,여성,20대,like,13,6.47
inffol-0965,inf-0049,2026-06-01,여성,30대,like,2,1.0
inffol-0966,inf-0049,2026-06-01,여성,40대,like,2,1.0
inffol-0967,inf-0049,2026-06-01,남성,10대,comment,1,0.5
inffol-0968,inf-0049,2026-06-01,남성,20대,comment,26,12.94
inffol-0969,inf-0049,2026-06-01,남성,30대,comment,11,5.47
inffol-0970,inf-0049,2026-06-01,남성,40대,comment,3,1.49
inffol-0971,inf-0049,2026-06-01,남성,60대+,comment,1,0.5
inffol-0972,inf-0049,2026-06-01,여성,20대,comment,4,1.99
inffol-0973,inf-0049,2026-06-01,여성,30대,comment,1,0.5
inffol-0974,inf-0049,2026-06-01,여성,40대,comment,1,0.5
inffol-0975,inf-0050,2026-06-01,남성,10대,like,8,0.54
inffol-0976,inf-0050,2026-06-01,남성,20대,like,62,4.18
inffol-0977,inf-0050,2026-06-01,남성,30대,like,152,10.26
inffol-0978,inf-0050,2026-06-01,남성,40대,like,109,7.35
inffol-0979,inf-0050,2026-06-01,남성,50대,like,7,0.47
inffol-0980,inf-0050,2026-06-01,남성,60대+,like,6,0.4
inffol-0981,inf-0050,2026-06-01,여성,10대,like,14,0.94
inffol-0982,inf-0050,2026-06-01,여성,20대,like,115,7.76
inffol-0983,inf-0050,2026-06-01,여성,30대,like,203,13.7
inffol-0984,inf-0050,2026-06-01,여성,40대,like,133,8.97
inffol-0985,inf-0050,2026-06-01,여성,50대,like,6,0.4
inffol-0986,inf-0050,2026-06-01,여성,60대+,like,16,1.08
inffol-0987,inf-0050,2026-06-01,남성,10대,comment,9,0.61
inffol-0988,inf-0050,2026-06-01,남성,20대,comment,46,3.1
inffol-0989,inf-0050,2026-06-01,남성,30대,comment,114,7.69
inffol-0990,inf-0050,2026-06-01,남성,40대,comment,82,5.53
inffol-0991,inf-0050,2026-06-01,남성,50대,comment,5,0.34
inffol-0992,inf-0050,2026-06-01,남성,60대+,comment,5,0.34
inffol-0993,inf-0050,2026-06-01,여성,10대,comment,12,0.81
inffol-0994,inf-0050,2026-06-01,여성,20대,comment,99,6.68
inffol-0995,inf-0050,2026-06-01,여성,30대,comment,165,11.13
inffol-0996,inf-0050,2026-06-01,여성,40대,comment,102,6.88
inffol-0997,inf-0050,2026-06-01,여성,50대,comment,4,0.27
inffol-0998,inf-0050,2026-06-01,여성,60대+,comment,8,0.54
inffol-0999,inf-0051,2026-06-01,남성,10대,like,6,0.47
inffol-1000,inf-0051,2026-06-01,남성,20대,like,208,16.37
inffol-1001,inf-0051,2026-06-01,남성,30대,like,54,4.25
inffol-1002,inf-0051,2026-06-01,남성,40대,like,68,5.35
inffol-1003,inf-0051,2026-06-01,남성,50대,like,4,0.31
inffol-1004,inf-0051,2026-06-01,여성,10대,like,4,0.31
inffol-1005,inf-0051,2026-06-01,여성,20대,like,302,23.76
inffol-1006,inf-0051,2026-06-01,여성,30대,like,96,7.55
inffol-1007,inf-0051,2026-06-01,여성,40대,like,128,10.07
inffol-1008,inf-0051,2026-06-01,여성,50대,like,11,0.87
inffol-1009,inf-0051,2026-06-01,여성,60대+,like,6,0.47
inffol-1010,inf-0051,2026-06-01,남성,10대,comment,1,0.08
inffol-1011,inf-0051,2026-06-01,남성,20대,comment,91,7.16
inffol-1012,inf-0051,2026-06-01,남성,30대,comment,27,2.12
inffol-1013,inf-0051,2026-06-01,남성,40대,comment,32,2.52
inffol-1014,inf-0051,2026-06-01,남성,50대,comment,2,0.16
inffol-1015,inf-0051,2026-06-01,남성,60대+,comment,2,0.16
inffol-1016,inf-0051,2026-06-01,여성,10대,comment,6,0.47
inffol-1017,inf-0051,2026-06-01,여성,20대,comment,124,9.76
inffol-1018,inf-0051,2026-06-01,여성,30대,comment,47,3.7
inffol-1019,inf-0051,2026-06-01,여성,40대,comment,48,3.78
inffol-1020,inf-0051,2026-06-01,여성,50대,comment,3,0.24
inffol-1021,inf-0051,2026-06-01,여성,60대+,comment,1,0.08
inffol-1022,inf-0052,2026-06-01,남성,10대,like,2,2.04
inffol-1023,inf-0052,2026-06-01,남성,20대,like,5,5.1
inffol-1024,inf-0052,2026-06-01,남성,30대,like,3,3.06
inffol-1025,inf-0052,2026-06-01,남성,40대,like,7,7.14
inffol-1026,inf-0052,2026-06-01,남성,50대,like,8,8.16
inffol-1027,inf-0052,2026-06-01,남성,60대+,like,4,4.08
inffol-1028,inf-0052,2026-06-01,여성,10대,like,3,3.06
inffol-1029,inf-0052,2026-06-01,여성,20대,like,16,16.33
inffol-1030,inf-0052,2026-06-01,여성,30대,like,8,8.16
inffol-1031,inf-0052,2026-06-01,여성,40대,like,9,9.18
inffol-1032,inf-0052,2026-06-01,여성,50대,like,16,16.33
inffol-1033,inf-0052,2026-06-01,여성,60대+,like,8,8.16
inffol-1034,inf-0052,2026-06-01,남성,20대,comment,2,2.04
inffol-1035,inf-0052,2026-06-01,남성,50대,comment,1,1.02
inffol-1036,inf-0052,2026-06-01,남성,60대+,comment,1,1.02
inffol-1037,inf-0052,2026-06-01,여성,30대,comment,2,2.04
inffol-1038,inf-0052,2026-06-01,여성,40대,comment,2,2.04
inffol-1039,inf-0052,2026-06-01,여성,60대+,comment,1,1.02
inffol-1040,inf-0053,2026-06-01,남성,10대,like,29,6.05
inffol-1041,inf-0053,2026-06-01,남성,20대,like,101,21.09
inffol-1042,inf-0053,2026-06-01,남성,30대,like,20,4.18
inffol-1043,inf-0053,2026-06-01,남성,40대,like,5,1.04
inffol-1044,inf-0053,2026-06-01,남성,50대,like,6,1.25
inffol-1045,inf-0053,2026-06-01,여성,10대,like,16,3.34
inffol-1046,inf-0053,2026-06-01,여성,20대,like,82,17.12
inffol-1047,inf-0053,2026-06-01,여성,30대,like,24,5.01
inffol-1048,inf-0053,2026-06-01,여성,40대,like,6,1.25
inffol-1049,inf-0053,2026-06-01,여성,50대,like,10,2.09
inffol-1050,inf-0053,2026-06-01,남성,10대,comment,11,2.3
inffol-1051,inf-0053,2026-06-01,남성,20대,comment,58,12.11
inffol-1052,inf-0053,2026-06-01,남성,30대,comment,14,2.92
inffol-1053,inf-0053,2026-06-01,남성,40대,comment,8,1.67
inffol-1054,inf-0053,2026-06-01,남성,50대,comment,4,0.84
inffol-1055,inf-0053,2026-06-01,남성,60대+,comment,1,0.21
inffol-1056,inf-0053,2026-06-01,여성,10대,comment,7,1.46
inffol-1057,inf-0053,2026-06-01,여성,20대,comment,53,11.06
inffol-1058,inf-0053,2026-06-01,여성,30대,comment,13,2.71
inffol-1059,inf-0053,2026-06-01,여성,40대,comment,2,0.42
inffol-1060,inf-0053,2026-06-01,여성,50대,comment,8,1.67
inffol-1061,inf-0053,2026-06-01,여성,60대+,comment,1,0.21
inffol-1062,inf-0054,2026-06-01,남성,10대,like,11,0.75
inffol-1063,inf-0054,2026-06-01,남성,20대,like,19,1.29
inffol-1064,inf-0054,2026-06-01,남성,30대,like,11,0.75
inffol-1065,inf-0054,2026-06-01,남성,40대,like,3,0.2
inffol-1066,inf-0054,2026-06-01,남성,60대+,like,3,0.2
inffol-1067,inf-0054,2026-06-01,여성,10대,like,131,8.91
inffol-1068,inf-0054,2026-06-01,여성,20대,like,330,22.45
inffol-1069,inf-0054,2026-06-01,여성,30대,like,209,14.22
inffol-1070,inf-0054,2026-06-01,여성,40대,like,26,1.77
inffol-1071,inf-0054,2026-06-01,여성,50대,like,4,0.27
inffol-1072,inf-0054,2026-06-01,여성,60대+,like,38,2.59
inffol-1073,inf-0054,2026-06-01,남성,10대,comment,10,0.68
inffol-1074,inf-0054,2026-06-01,남성,20대,comment,16,1.09
inffol-1075,inf-0054,2026-06-01,남성,30대,comment,22,1.5
inffol-1076,inf-0054,2026-06-01,남성,40대,comment,3,0.2
inffol-1077,inf-0054,2026-06-01,남성,60대+,comment,2,0.14
inffol-1078,inf-0054,2026-06-01,여성,10대,comment,104,7.07
inffol-1079,inf-0054,2026-06-01,여성,20대,comment,270,18.37
inffol-1080,inf-0054,2026-06-01,여성,30대,comment,190,12.93
inffol-1081,inf-0054,2026-06-01,여성,40대,comment,15,1.02
inffol-1082,inf-0054,2026-06-01,여성,50대,comment,4,0.27
inffol-1083,inf-0054,2026-06-01,여성,60대+,comment,49,3.33
inffol-1084,inf-0055,2026-06-01,남성,10대,like,62,6.13
inffol-1085,inf-0055,2026-06-01,남성,20대,like,171,16.91
inffol-1086,inf-0055,2026-06-01,남성,30대,like,178,17.61
inffol-1087,inf-0055,2026-06-01,남성,40대,like,73,7.22
inffol-1088,inf-0055,2026-06-01,남성,50대,like,1,0.1
inffol-1089,inf-0055,2026-06-01,남성,60대+,like,15,1.48
inffol-1090,inf-0055,2026-06-01,여성,10대,like,59,5.84
inffol-1091,inf-0055,2026-06-01,여성,20대,like,142,14.05
inffol-1092,inf-0055,2026-06-01,여성,30대,like,186,18.4
inffol-1093,inf-0055,2026-06-01,여성,40대,like,70,6.92
inffol-1094,inf-0055,2026-06-01,여성,60대+,like,14,1.38
inffol-1095,inf-0055,2026-06-01,남성,10대,comment,2,0.2
inffol-1096,inf-0055,2026-06-01,남성,20대,comment,8,0.79
inffol-1097,inf-0055,2026-06-01,남성,30대,comment,8,0.79
inffol-1098,inf-0055,2026-06-01,남성,40대,comment,2,0.2
inffol-1099,inf-0055,2026-06-01,여성,10대,comment,2,0.2
inffol-1100,inf-0055,2026-06-01,여성,20대,comment,8,0.79
inffol-1101,inf-0055,2026-06-01,여성,30대,comment,8,0.79
inffol-1102,inf-0055,2026-06-01,여성,40대,comment,2,0.2
inffol-1103,inf-0056,2026-06-01,남성,10대,like,40,3.67
inffol-1104,inf-0056,2026-06-01,남성,20대,like,156,14.3
inffol-1105,inf-0056,2026-06-01,남성,30대,like,126,11.55
inffol-1106,inf-0056,2026-06-01,남성,40대,like,183,16.77
inffol-1107,inf-0056,2026-06-01,남성,50대,like,38,3.48
inffol-1108,inf-0056,2026-06-01,남성,60대+,like,1,0.09
inffol-1109,inf-0056,2026-06-01,여성,10대,like,17,1.56
inffol-1110,inf-0056,2026-06-01,여성,20대,like,64,5.87
inffol-1111,inf-0056,2026-06-01,여성,30대,like,42,3.85
inffol-1112,inf-0056,2026-06-01,여성,40대,like,68,6.23
inffol-1113,inf-0056,2026-06-01,여성,50대,like,9,0.82
inffol-1114,inf-0056,2026-06-01,남성,10대,comment,25,2.29
inffol-1115,inf-0056,2026-06-01,남성,20대,comment,66,6.05
inffol-1116,inf-0056,2026-06-01,남성,30대,comment,62,5.68
inffol-1117,inf-0056,2026-06-01,남성,40대,comment,94,8.62
inffol-1118,inf-0056,2026-06-01,남성,50대,comment,14,1.28
inffol-1119,inf-0056,2026-06-01,남성,60대+,comment,1,0.09
inffol-1120,inf-0056,2026-06-01,여성,10대,comment,7,0.64
inffol-1121,inf-0056,2026-06-01,여성,20대,comment,23,2.11
inffol-1122,inf-0056,2026-06-01,여성,30대,comment,20,1.83
inffol-1123,inf-0056,2026-06-01,여성,40대,comment,31,2.84
inffol-1124,inf-0056,2026-06-01,여성,50대,comment,3,0.27
inffol-1125,inf-0056,2026-06-01,여성,60대+,comment,1,0.09
inffol-1126,inf-0057,2026-06-01,남성,10대,like,25,4.01
inffol-1127,inf-0057,2026-06-01,남성,20대,like,113,18.11
inffol-1128,inf-0057,2026-06-01,남성,30대,like,217,34.78
inffol-1129,inf-0057,2026-06-01,남성,40대,like,46,7.37
inffol-1130,inf-0057,2026-06-01,남성,50대,like,20,3.21
inffol-1131,inf-0057,2026-06-01,남성,60대+,like,6,0.96
inffol-1132,inf-0057,2026-06-01,여성,10대,like,3,0.48
inffol-1133,inf-0057,2026-06-01,여성,20대,like,17,2.72
inffol-1134,inf-0057,2026-06-01,여성,30대,like,30,4.81
inffol-1135,inf-0057,2026-06-01,여성,40대,like,5,0.8
inffol-1136,inf-0057,2026-06-01,여성,50대,like,1,0.16
inffol-1137,inf-0057,2026-06-01,여성,60대+,like,1,0.16
inffol-1138,inf-0057,2026-06-01,남성,10대,comment,14,2.24
inffol-1139,inf-0057,2026-06-01,남성,20대,comment,27,4.33
inffol-1140,inf-0057,2026-06-01,남성,30대,comment,57,9.13
inffol-1141,inf-0057,2026-06-01,남성,40대,comment,12,1.92
inffol-1142,inf-0057,2026-06-01,남성,50대,comment,10,1.6
inffol-1143,inf-0057,2026-06-01,남성,60대+,comment,1,0.16
inffol-1144,inf-0057,2026-06-01,여성,20대,comment,7,1.12
inffol-1145,inf-0057,2026-06-01,여성,30대,comment,8,1.28
inffol-1146,inf-0057,2026-06-01,여성,40대,comment,3,0.48
inffol-1147,inf-0057,2026-06-01,여성,60대+,comment,1,0.16
inffol-1148,inf-0058,2026-06-01,남성,10대,like,32,2.44
inffol-1149,inf-0058,2026-06-01,남성,20대,like,56,4.27
inffol-1150,inf-0058,2026-06-01,남성,30대,like,87,6.63
inffol-1151,inf-0058,2026-06-01,남성,40대,like,27,2.06
inffol-1152,inf-0058,2026-06-01,남성,50대,like,4,0.3
inffol-1153,inf-0058,2026-06-01,여성,10대,like,129,9.83
inffol-1154,inf-0058,2026-06-01,여성,20대,like,185,14.1
inffol-1155,inf-0058,2026-06-01,여성,30대,like,184,14.02
inffol-1156,inf-0058,2026-06-01,여성,40대,like,81,6.17
inffol-1157,inf-0058,2026-06-01,여성,50대,like,36,2.74
inffol-1158,inf-0058,2026-06-01,여성,60대+,like,1,0.08
inffol-1159,inf-0058,2026-06-01,남성,10대,comment,24,1.83
inffol-1160,inf-0058,2026-06-01,남성,20대,comment,26,1.98
inffol-1161,inf-0058,2026-06-01,남성,30대,comment,46,3.51
inffol-1162,inf-0058,2026-06-01,남성,40대,comment,10,0.76
inffol-1163,inf-0058,2026-06-01,남성,50대,comment,10,0.76
inffol-1164,inf-0058,2026-06-01,여성,10대,comment,80,6.1
inffol-1165,inf-0058,2026-06-01,여성,20대,comment,110,8.38
inffol-1166,inf-0058,2026-06-01,여성,30대,comment,110,8.38
inffol-1167,inf-0058,2026-06-01,여성,40대,comment,40,3.05
inffol-1168,inf-0058,2026-06-01,여성,50대,comment,34,2.59
inffol-1169,inf-0059,2026-06-01,남성,10대,like,95,8.95
inffol-1170,inf-0059,2026-06-01,남성,20대,like,442,41.62
inffol-1171,inf-0059,2026-06-01,남성,30대,like,25,2.35
inffol-1172,inf-0059,2026-06-01,남성,40대,like,15,1.41
inffol-1173,inf-0059,2026-06-01,여성,10대,like,63,5.93
inffol-1174,inf-0059,2026-06-01,여성,20대,like,272,25.61
inffol-1175,inf-0059,2026-06-01,여성,30대,like,25,2.35
inffol-1176,inf-0059,2026-06-01,여성,40대,like,18,1.69
inffol-1177,inf-0059,2026-06-01,남성,10대,comment,12,1.13
inffol-1178,inf-0059,2026-06-01,남성,20대,comment,43,4.05
inffol-1179,inf-0059,2026-06-01,남성,30대,comment,3,0.28
inffol-1180,inf-0059,2026-06-01,여성,10대,comment,11,1.04
inffol-1181,inf-0059,2026-06-01,여성,20대,comment,27,2.54
inffol-1182,inf-0059,2026-06-01,여성,30대,comment,5,0.47
inffol-1183,inf-0059,2026-06-01,여성,40대,comment,5,0.47
inffol-1184,inf-0059,2026-06-01,여성,50대,comment,1,0.09
inffol-1185,inf-0060,2026-06-01,남성,10대,like,108,7.44
inffol-1186,inf-0060,2026-06-01,남성,20대,like,125,8.61
inffol-1187,inf-0060,2026-06-01,남성,30대,like,119,8.2
inffol-1188,inf-0060,2026-06-01,남성,40대,like,102,7.03
inffol-1189,inf-0060,2026-06-01,남성,50대,like,65,4.48
inffol-1190,inf-0060,2026-06-01,여성,10대,like,52,3.58
inffol-1191,inf-0060,2026-06-01,여성,20대,like,56,3.86
inffol-1192,inf-0060,2026-06-01,여성,30대,like,56,3.86
inffol-1193,inf-0060,2026-06-01,여성,40대,like,45,3.1
inffol-1194,inf-0060,2026-06-01,여성,50대,like,17,1.17
inffol-1195,inf-0060,2026-06-01,남성,10대,comment,117,8.06
inffol-1196,inf-0060,2026-06-01,남성,20대,comment,112,7.72
inffol-1197,inf-0060,2026-06-01,남성,30대,comment,96,6.62
inffol-1198,inf-0060,2026-06-01,남성,40대,comment,111,7.65
inffol-1199,inf-0060,2026-06-01,남성,50대,comment,62,4.27
inffol-1200,inf-0060,2026-06-01,여성,10대,comment,46,3.17
inffol-1201,inf-0060,2026-06-01,여성,20대,comment,57,3.93
inffol-1202,inf-0060,2026-06-01,여성,30대,comment,42,2.89
inffol-1203,inf-0060,2026-06-01,여성,40대,comment,37,2.55
inffol-1204,inf-0060,2026-06-01,여성,50대,comment,26,1.79
inffol-1205,inf-0061,2026-06-01,남성,10대,like,6,0.47
inffol-1206,inf-0061,2026-06-01,남성,20대,like,319,25.22
inffol-1207,inf-0061,2026-06-01,남성,30대,like,254,20.08
inffol-1208,inf-0061,2026-06-01,남성,40대,like,126,9.96
inffol-1209,inf-0061,2026-06-01,남성,50대,like,15,1.19
inffol-1210,inf-0061,2026-06-01,여성,20대,like,44,3.48
inffol-1211,inf-0061,2026-06-01,여성,30대,like,38,3.0
inffol-1212,inf-0061,2026-06-01,여성,40대,like,22,1.74
inffol-1213,inf-0061,2026-06-01,여성,50대,like,1,0.08
inffol-1214,inf-0061,2026-06-01,남성,10대,comment,1,0.08
inffol-1215,inf-0061,2026-06-01,남성,20대,comment,157,12.41
inffol-1216,inf-0061,2026-06-01,남성,30대,comment,136,10.75
inffol-1217,inf-0061,2026-06-01,남성,40대,comment,71,5.61
inffol-1218,inf-0061,2026-06-01,남성,50대,comment,12,0.95
inffol-1219,inf-0061,2026-06-01,남성,60대+,comment,1,0.08
inffol-1220,inf-0061,2026-06-01,여성,20대,comment,29,2.29
inffol-1221,inf-0061,2026-06-01,여성,30대,comment,21,1.66
inffol-1222,inf-0061,2026-06-01,여성,40대,comment,11,0.87
inffol-1223,inf-0061,2026-06-01,여성,50대,comment,1,0.08
inffol-1224,inf-0062,2026-06-01,남성,20대,like,12,5.19
inffol-1225,inf-0062,2026-06-01,남성,30대,like,48,20.78
inffol-1226,inf-0062,2026-06-01,남성,40대,like,8,3.46
inffol-1227,inf-0062,2026-06-01,남성,50대,like,1,0.43
inffol-1228,inf-0062,2026-06-01,여성,20대,like,12,5.19
inffol-1229,inf-0062,2026-06-01,여성,30대,like,68,29.44
inffol-1230,inf-0062,2026-06-01,여성,40대,like,3,1.3
inffol-1231,inf-0062,2026-06-01,여성,60대+,like,1,0.43
inffol-1232,inf-0062,2026-06-01,남성,20대,comment,6,2.6
inffol-1233,inf-0062,2026-06-01,남성,30대,comment,37,16.02
inffol-1234,inf-0062,2026-06-01,남성,40대,comment,4,1.73
inffol-1235,inf-0062,2026-06-01,여성,20대,comment,5,2.16
inffol-1236,inf-0062,2026-06-01,여성,30대,comment,25,10.82
inffol-1237,inf-0062,2026-06-01,여성,40대,comment,1,0.43
inffol-1238,inf-0063,2026-06-01,남성,10대,like,10,1.98
inffol-1239,inf-0063,2026-06-01,남성,20대,like,109,21.54
inffol-1240,inf-0063,2026-06-01,남성,30대,like,38,7.51
inffol-1241,inf-0063,2026-06-01,남성,40대,like,28,5.53
inffol-1242,inf-0063,2026-06-01,남성,50대,like,2,0.4
inffol-1243,inf-0063,2026-06-01,여성,10대,like,12,2.37
inffol-1244,inf-0063,2026-06-01,여성,20대,like,104,20.55
inffol-1245,inf-0063,2026-06-01,여성,30대,like,62,12.25
inffol-1246,inf-0063,2026-06-01,여성,40대,like,31,6.13
inffol-1247,inf-0063,2026-06-01,여성,50대,like,7,1.38
inffol-1248,inf-0063,2026-06-01,여성,60대+,like,1,0.2
inffol-1249,inf-0063,2026-06-01,남성,10대,comment,2,0.4
inffol-1250,inf-0063,2026-06-01,남성,20대,comment,31,6.13
inffol-1251,inf-0063,2026-06-01,남성,30대,comment,13,2.57
inffol-1252,inf-0063,2026-06-01,남성,40대,comment,4,0.79
inffol-1253,inf-0063,2026-06-01,남성,50대,comment,2,0.4
inffol-1254,inf-0063,2026-06-01,남성,60대+,comment,1,0.2
inffol-1255,inf-0063,2026-06-01,여성,10대,comment,8,1.58
inffol-1256,inf-0063,2026-06-01,여성,20대,comment,15,2.96
inffol-1257,inf-0063,2026-06-01,여성,30대,comment,15,2.96
inffol-1258,inf-0063,2026-06-01,여성,40대,comment,9,1.78
inffol-1259,inf-0063,2026-06-01,여성,50대,comment,2,0.4
inffol-1260,inf-0064,2026-06-01,남성,10대,like,54,7.38
inffol-1261,inf-0064,2026-06-01,남성,20대,like,57,7.79
inffol-1262,inf-0064,2026-06-01,남성,30대,like,83,11.34
inffol-1263,inf-0064,2026-06-01,남성,40대,like,53,7.24
inffol-1264,inf-0064,2026-06-01,남성,60대+,like,2,0.27
inffol-1265,inf-0064,2026-06-01,여성,10대,like,38,5.19
inffol-1266,inf-0064,2026-06-01,여성,20대,like,41,5.6
inffol-1267,inf-0064,2026-06-01,여성,30대,like,93,12.7
inffol-1268,inf-0064,2026-06-01,여성,40대,like,62,8.47
inffol-1269,inf-0064,2026-06-01,여성,50대,like,5,0.68
inffol-1270,inf-0064,2026-06-01,여성,60대+,like,3,0.41
inffol-1271,inf-0064,2026-06-01,남성,10대,comment,14,1.91
inffol-1272,inf-0064,2026-06-01,남성,20대,comment,29,3.96
inffol-1273,inf-0064,2026-06-01,남성,30대,comment,35,4.78
inffol-1274,inf-0064,2026-06-01,남성,40대,comment,33,4.51
inffol-1275,inf-0064,2026-06-01,남성,50대,comment,1,0.14
inffol-1276,inf-0064,2026-06-01,여성,10대,comment,20,2.73
inffol-1277,inf-0064,2026-06-01,여성,20대,comment,25,3.42
inffol-1278,inf-0064,2026-06-01,여성,30대,comment,50,6.83
inffol-1279,inf-0064,2026-06-01,여성,40대,comment,32,4.37
inffol-1280,inf-0064,2026-06-01,여성,60대+,comment,2,0.27
inffol-1281,inf-0065,2026-06-01,남성,10대,like,60,3.41
inffol-1282,inf-0065,2026-06-01,남성,20대,like,113,6.43
inffol-1283,inf-0065,2026-06-01,남성,30대,like,133,7.57
inffol-1284,inf-0065,2026-06-01,남성,40대,like,31,1.76
inffol-1285,inf-0065,2026-06-01,남성,50대,like,20,1.14
inffol-1286,inf-0065,2026-06-01,남성,60대+,like,5,0.28
inffol-1287,inf-0065,2026-06-01,여성,10대,like,110,6.26
inffol-1288,inf-0065,2026-06-01,여성,20대,like,151,8.59
inffol-1289,inf-0065,2026-06-01,여성,30대,like,235,13.37
inffol-1290,inf-0065,2026-06-01,여성,40대,like,49,2.79
